,DriverNumber,Driver,DriverId,TeamName,ClassifiedPosition,QualifyingPosition,RaceTime_seconds,FP1_avg,FP1_best,fp1_air_temp,fp1_humidity,fp1_pressure,fp1_track_temp,fp1_wind_speed,fp1_session_wet,fp1_rainfall_readings,FP2_avg,FP2_best,fp2_air_temp,fp2_humidity,fp2_pressure,fp2_track_temp,fp2_wind_speed,fp2_session_wet,fp2_rainfall_readings,FP3_avg,FP3_best,fp3_air_temp,fp3_humidity,fp3_pressure,fp3_track_temp,fp3_wind_speed,fp3_session_wet,fp3_rainfall_readings,Year,race_Imola,race_Miami,race_Suzuka,race_Zandvoort
1,1,VER,max_verstappen,Red Bull Racing,1,1.0,4926.983,105.10083333333334,89.065,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.5235,88.67,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,93.60438461538462,88.497,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
4,4,NOR,norris,McLaren,2,2.0,1.423,100.33123529411763,88.549,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,93.967,88.163,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,106.50030769230769,87.965,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
81,81,PIA,piastri,McLaren,3,3.0,2.129,107.27286363636364,89.708,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,99.95700000000001,88.114,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.45416666666667,87.991,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
16,16,LEC,leclerc,Ferrari,4,4.0,16.097,107.00190909090908,88.965,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,110.85340000000001,88.586,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,110.614,88.414,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
63,63,RUS,russell,Mercedes,5,5.0,17.362,101.7129090909091,88.712,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.27000000000001,88.567,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,113.73475,88.077,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
12,12,ANT,antonelli,Mercedes,6,6.0,18.671,103.36880952380952,89.284,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.9795,89.733,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.5425,89.126,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
44,44,HAM,hamilton,Ferrari,7,8.0,29.182,100.52122222222222,89.051,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.6186,88.544,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,109.02885714285715,88.524,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
6,6,HAD,hadjar,Racing Bulls,8,7.0,37.134,111.49040000000001,89.225,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,100.9334,88.518,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.3400909090909,88.786,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
23,23,ALB,albon,Williams,9,9.0,40.367,111.8442,89.392,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,113.85775,89.023,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,103.1235,88.554,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
87,87,BEA,bearman,Haas F1 Team,10,10.0,54.529,106.27359999999999,90.077,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,90.43400000000001,89.654,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,97.62118181818182,90.084,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
14,14,ALO,alonso,Aston Martin,11,12.0,57.333,110.277,89.222,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,89.978,89.978,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,104.24383333333333,89.772,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
22,22,TSU,tsunoda,Red Bull Racing,12,14.0,58.401,105.15194117647059,89.172,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,93.32800000000002,90.625,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,93.52633333333334,88.785,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
10,10,GAS,gasly,Alpine,13,11.0,62.122,107.98478947368422,89.547,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,108.179,88.757,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,114.21430000000001,88.603,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
55,55,SAI,sainz,Williams,14,15.0,74.129,111.2043043478261,89.333,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,89.10249999999999,88.832,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.5588,88.846,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
7,7,DOO,doohan,Alpine,15,19.0,81.314,,,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,119.95500000000001,91.659,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,114.66388888888888,89.767,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
27,27,HUL,hulkenberg,Kick Sauber,16,16.0,81.957,109.64770588235294,90.023,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.40725,89.062,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,95.69836363636364,90.621,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
30,30,LAW,lawson,Racing Bulls,17,13.0,82.734,109.56073913043478,89.536,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,102.104,88.559,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,100.87866666666667,89.104,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
31,31,OCO,ocon,Haas F1 Team,18,18.0,83.438,110.40735714285714,90.123,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.37825000000001,89.507,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,100.16433333333333,90.183,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
5,5,BOR,bortoleto,Kick Sauber,19,17.0,83.897,103.53861904761905,90.147,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,101.7612,89.335,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,107.07275,90.134,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
18,18,STR,stroll,Aston Martin,20,20.0,12.929,112.84294736842105,89.758,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,92.57275,90.845,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,118.68683333333333,90.267,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
1,1,VER,max_verstappen,Red Bull Racing,1,2.0,5493.199,108.53899999999999,76.905,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,89.82711764705881,75.735,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,100.86208333333333,75.078,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
4,4,NOR,norris,McLaren,2,4.0,6.109,93.78305555555556,76.577,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,92.64736842105263,75.318,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,102.21408333333333,74.897,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
81,81,PIA,piastri,McLaren,3,1.0,12.956,94.63757894736843,76.545,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,94.35531818181818,75.293,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,93.66942857142858,74.997,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
44,44,HAM,hamilton,Ferrari,4,12.0,14.356,97.616,76.641,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,89.5121875,75.943,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,100.69205882352941,75.787,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
23,23,ALB,albon,Williams,5,7.0,17.945,105.5041875,76.922,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,98.36126086956523,75.916,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,103.08300000000001,75.732,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
16,16,LEC,leclerc,Ferrari,6,11.0,20.774,96.06223529411764,77.077,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,94.4564,75.768,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,100.8299,75.451,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
63,63,RUS,russell,Mercedes,7,3.0,22.034,89.88728571428571,76.599,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,86.20025,75.693,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,93.54771428571428,75.662,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
55,55,SAI,sainz,Williams,8,6.0,22.898,105.02684615384615,76.597,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,98.29795652173914,75.934,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,104.37470588235294,75.457,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
6,6,HAD,hadjar,Racing Bulls,9,9.0,23.586,103.76878571428571,77.641,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,92.92282352941176,75.792,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,102.20349999999999,75.508,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
22,22,TSU,tsunoda,Red Bull Racing,10,20.0,26.446,106.1867,77.356,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,96.198,75.827,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,102.769,76.11,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
14,14,ALO,alonso,Aston Martin,11,5.0,27.25,95.1509411764706,77.121,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,100.30864285714286,76.22,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,100.96258333333333,75.819,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
27,27,HUL,hulkenberg,Kick Sauber,12,17.0,30.296,97.44261111111112,76.998,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,95.86845,76.419,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,95.0601,76.238,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
10,10,GAS,gasly,Alpine,13,10.0,31.424,105.78126666666667,76.696,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,92.19680952380952,75.569,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,93.983125,75.99,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
30,30,LAW,lawson,Racing Bulls,14,15.0,32.511,96.9666875,77.286,19.302631578947366,32.421052631578945,1007.9578947368419,39.53157894736842,3.206578947368421,False,0,98.57114285714286,76.255,19.67654320987654,31.555555555555557,1007.20987654321,34.91234567901235,2.328395061728395,False,0.0,110.93978571428572,75.977,21.992307692307694,30.58974358974359,1009.0705128205125,42.15897435897436,1.6538461538461537,False,0.0,2025,True,False,False,False
